Title-module__anchor--GmXUE href	Title-module__anchor--GmXUE	ReposListItem-module__Label_2--Z6b0K	Text__StyledText-sc-1klmep6-0	ReposListItem-module__Text_4--mkG7R	ReposListItem-module__Link_1--v5NDF	ReposListItem-module__Link_1--v5NDF href	ReposListItem-module__Link_1--v5NDF 2	ReposListItem-module__Link_1--v5NDF href 2	ReposListItem-module__Box_6--KXqca 3	ReposListItem-module__Link_1--v5NDF 3	ReposListItem-module__Link_1--v5NDF href 3
https://github.com/JuliaComputing/CxxrtlCosim	CxxrtlCosim	Public	Cosimulation of ModelingToolkit and Cxxrtl	Julia	0	https://github.com/JuliaComputing/CxxrtlCosim/forks	5	https://github.com/JuliaComputing/CxxrtlCosim/stargazers	•	1	https://github.com/JuliaComputing/CxxrtlCosim/pulls
https://github.com/JuliaComputing/MosaicPlutoPlugin.jl	MosaicPlutoPlugin.jl	Public	A Pluto.jl plugin for embedding Mosaic inside a notebook for interactive schematic analysis	Julia	0	https://github.com/JuliaComputing/MosaicPlutoPlugin.jl/forks	16	https://github.com/JuliaComputing/MosaicPlutoPlugin.jl/stargazers	•	1	https://github.com/JuliaComputing/MosaicPlutoPlugin.jl/pulls
https://github.com/JuliaComputing/HTTPDownloads.jl	HTTPDownloads.jl	Public	Use Downloads.jl as a backend for HTTP.jl	Julia	2	https://github.com/JuliaComputing/HTTPDownloads.jl/forks	29	https://github.com/JuliaComputing/HTTPDownloads.jl/stargazers	•	3	https://github.com/JuliaComputing/HTTPDownloads.jl/pulls
https://github.com/JuliaComputing/scopehal.jl	scopehal.jl	Public	Julia wrapper for scopehal	Julia	0	https://github.com/JuliaComputing/scopehal.jl/forks	0	https://github.com/JuliaComputing/scopehal.jl/stargazers	•	1	https://github.com/JuliaComputing/scopehal.jl/pulls
https://github.com/JuliaComputing/Xyce.jl	Xyce.jl	Public	A Julia wrapper for Xyce.	Julia	2	https://github.com/JuliaComputing/Xyce.jl/forks	15	https://github.com/JuliaComputing/Xyce.jl/stargazers	•	1	https://github.com/JuliaComputing/Xyce.jl/pulls
https://github.com/JuliaComputing/SQLStrings.jl	SQLStrings.jl	Public	Safe interpolations for SQL query strings	Julia	3	https://github.com/JuliaComputing/SQLStrings.jl/forks	34	https://github.com/JuliaComputing/SQLStrings.jl/stargazers	•	1	https://github.com/JuliaComputing/SQLStrings.jl/pulls
https://github.com/JuliaComputing/NgSpice.jl	NgSpice.jl	Public	This package wraps NgSpice for Julia users	Julia	3	https://github.com/JuliaComputing/NgSpice.jl/forks	5	https://github.com/JuliaComputing/NgSpice.jl/stargazers	•	3	https://github.com/JuliaComputing/NgSpice.jl/pulls
https://github.com/JuliaComputing/Badges.jl	Badges.jl	Public	Badges in Julia	Julia	0	https://github.com/JuliaComputing/Badges.jl/forks	17	https://github.com/JuliaComputing/Badges.jl/stargazers	•	1	https://github.com/JuliaComputing/Badges.jl/pulls
https://github.com/JuliaComputing/Finance_demos	Finance_demos	Public		Jupyter Notebook	0	https://github.com/JuliaComputing/Finance_demos/forks	1	https://github.com/JuliaComputing/Finance_demos/stargazers	•	1	https://github.com/JuliaComputing/Finance_demos/pulls
https://github.com/JuliaComputing/SecretAnalysis.jl	SecretAnalysis.jl	Public		Julia	5	https://github.com/JuliaComputing/SecretAnalysis.jl/forks	2	https://github.com/JuliaComputing/SecretAnalysis.jl/stargazers	•	2	https://github.com/JuliaComputing/SecretAnalysis.jl/pulls
https://github.com/JuliaComputing/EasyConfig.jl	EasyConfig.jl	Public	Easy-to-write JSON-like data structure for Julia	Julia	1	https://github.com/JuliaComputing/EasyConfig.jl/forks	41	https://github.com/JuliaComputing/EasyConfig.jl/stargazers	•	1	https://github.com/JuliaComputing/EasyConfig.jl/pulls
https://github.com/JuliaComputing/HTMLSanitizer.jl	HTMLSanitizer.jl	Public	HTML sanitization in Julia	Julia	0	https://github.com/JuliaComputing/HTMLSanitizer.jl/forks	3	https://github.com/JuliaComputing/HTMLSanitizer.jl/stargazers	•	1	https://github.com/JuliaComputing/HTMLSanitizer.jl/pulls
https://github.com/JuliaComputing/JSC-Training	JSC-Training	Public		Julia	1	https://github.com/JuliaComputing/JSC-Training/forks	5	https://github.com/JuliaComputing/JSC-Training/stargazers	•	1	https://github.com/JuliaComputing/JSC-Training/pulls
https://github.com/JuliaComputing/JuliaTeam-GCP-k8s	JuliaTeam-GCP-k8s	Public	This repo contains the CLI instructions that could be used to deploy JuliaTeam on GCP	Shell	2	https://github.com/JuliaComputing/JuliaTeam-GCP-k8s/forks	1	https://github.com/JuliaComputing/JuliaTeam-GCP-k8s/stargazers	•	1	https://github.com/JuliaComputing/JuliaTeam-GCP-k8s/pulls
https://github.com/JuliaComputing/Miletus.jl	Miletus.jl	Public	Writing financial contracts in Julia	Julia	24	https://github.com/JuliaComputing/Miletus.jl/forks	90	https://github.com/JuliaComputing/Miletus.jl/stargazers	•	2	https://github.com/JuliaComputing/Miletus.jl/pulls
https://github.com/JuliaComputing/TableView.jl	TableView.jl	Public	A Tables.jl compatible table viewer based on ag-grid	Julia	13	https://github.com/JuliaComputing/TableView.jl/forks	104	https://github.com/JuliaComputing/TableView.jl/stargazers	•	1	https://github.com/JuliaComputing/TableView.jl/pulls
https://github.com/JuliaComputing/Azure.jl	Azure.jl	Public	Julia interface to Azure APIs	Julia	4	https://github.com/JuliaComputing/Azure.jl/forks	29	https://github.com/JuliaComputing/Azure.jl/stargazers	•	1	https://github.com/JuliaComputing/Azure.jl/pulls
https://github.com/JuliaComputing/Kuber.jl	Kuber.jl	Public	Julia Kubernetes Client	Julia	12	https://github.com/JuliaComputing/Kuber.jl/forks	66	https://github.com/JuliaComputing/Kuber.jl/stargazers	•	1	https://github.com/JuliaComputing/Kuber.jl/pulls
https://github.com/JuliaComputing/Swagger.jl	Swagger.jl	Public	Swagger (OpenAPI) helper and code generator for Julia	Julia	5	https://github.com/JuliaComputing/Swagger.jl/forks	38	https://github.com/JuliaComputing/Swagger.jl/stargazers	•	2	https://github.com/JuliaComputing/Swagger.jl/pulls
https://github.com/JuliaComputing/AMQPClient.jl	AMQPClient.jl	Public	A Julia AMQP (Advanced Message Queuing Protocol) / RabbitMQ Client.	Julia	21	https://github.com/JuliaComputing/AMQPClient.jl/forks	38	https://github.com/JuliaComputing/AMQPClient.jl/stargazers	•	1	https://github.com/JuliaComputing/AMQPClient.jl/pulls
https://github.com/JuliaComputing/SemiringAlgebra.jl	SemiringAlgebra.jl	Public	Semiring Algebra	Julia	3	https://github.com/JuliaComputing/SemiringAlgebra.jl/forks	12	https://github.com/JuliaComputing/SemiringAlgebra.jl/stargazers	•	1	https://github.com/JuliaComputing/SemiringAlgebra.jl/pulls
https://github.com/JuliaComputing/litellm	litellm	Public	Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]	Python	5k	https://github.com/JuliaComputing/litellm/forks	0	https://github.com/JuliaComputing/litellm/stargazers	•	0	https://github.com/JuliaComputing/litellm/pulls
